gene,max_phase,n_trials,diseases,categories,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro,approved,failed
MMP12,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,0.0,False,0.0,0.027027027027027,0,1
MMP13,3.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; respiratory,0.0,13.01,False,0.1,0.1621621621621621,0,1
MMP7,3.0,1,"Colitis, Ulcerative; Crohn Disease; Pulmonary Disease, Chronic Obstructive",GI; respiratory,6.07,39.99,False,0.1,0.1891891891891892,0,1
MMP8,3.0,1,"Colitis, Ulcerative; Crohn Disease; Pulmonary Disease, Chronic Obstructive",GI; respiratory,3.93,56.14,False,0.2,0.1621621621621621,0,1
MMP9,2.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Pulmonary Disease, Chronic Obstructive",GI; autoimmune; respiratory,11.54,71.71,False,0.2,0.2162162162162162,0,1
MS4A1,4.0,7,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatomyositis; Lupus Erythematosus, Systemic; Multiple Sclerosis; Nephrotic Syndrome; Spondylitis, Ankylosing",GI; autoimmune; renal,0.0,8.92,False,0.0,0.1351351351351351,1,0
NOS2,2.0,1,"Arthritis, Rheumatoid; Asthma",autoimmune; respiratory,4.35,0.0,True,0.2,0.1621621621621621,0,1
NPR1,2.0,1,Asthma,respiratory,3.93,2.99,True,0.1,0.1351351351351351,0,1
NR1H4,2.0,1,"Arthritis, Rheumatoid",autoimmune,2.4,0.0,True,0.2,0.1621621621621621,0,1
NR3C1,4.0,43,"Arthritis, Rheumatoid; Asthma; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Dermatomyositis; Lupus Erythematosus, Systemic; Multiple Sclerosis; Nephrotic Syndrome; Psoriasis; Pulmonary Disease, Chronic Obstructive; Rhinitis, Allergic; Spondylitis, Ankylosing; Uveitis",GI; autoimmune; eye; renal; respiratory; skin,56.91,9.43,True,0.2,0.1891891891891892,1,0
NR3C2,4.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative; Nephrotic Syndrome",GI; autoimmune; renal,19.75,18.02,True,0.2,0.2162162162162162,1,0
NTRK1,2.0,3,"Dermatitis, Atopic; Psoriasis; Pulmonary Disease, Chronic Obstructive",respiratory; skin,10.46,79.17,False,0.4,0.2432432432432432,0,1
NTRK2,2.0,1,Psoriasis,skin,4.45,0.0,True,0.1,0.1081081081081081,0,1
NTRK3,2.0,1,Psoriasis,skin,0.0,10.04,False,0.0,0.081081081081081,0,1
OPRD1,3.0,2,"Arthritis, Rheumatoid; Colitis, Ulcerative; Crohn Disease; Dermatitis, Atopic; Multiple Sclerosis; Psoriasis",GI; autoimmune; skin,0.0,24.67,False,0.0,0.081081081081081,0,1
OSMR,2.0,1,"Colitis, Ulcerative",GI,39.93,182.9,False,0.4,0.4054054054054054,0,1
