gene,max_phase,n_trials,diseases,categories,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro,approved,failed
DRD2,2.0,4,"Asthma; Multiple Sclerosis; Psoriasis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory; skin,0.0,3.32,False,0.1,0.081081081081081,0,1
EDNRA,2.0,3,"Asthma; Pulmonary Disease, Chronic Obstructive",respiratory,0.0,3.7,False,0.0,0.1621621621621621,0,1
EGFR,2.0,2,"Psoriasis; Pulmonary Disease, Chronic Obstructive",respiratory; skin,11.86,370.19,False,0.2,0.4864864864864865,0,1
ELANE,3.0,2,"Pulmonary Disease, Chronic Obstructive",respiratory,64.17,29.71,True,0.2,0.3783783783783784,0,1
EPHA2,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,21.18,53.58,False,0.4,0.4324324324324324,0,1
EPHX2,1.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,12.61,0.0,True,0.3,0.2162162162162162,0,1
ESR1,3.0,3,"Lupus Erythematosus, Systemic; Multiple Sclerosis",autoimmune,0.0,18.72,False,0.0,0.054054054054054,0,1
ESR2,3.0,2,"Crohn Disease; Lupus Erythematosus, Systemic",GI; autoimmune,16.18,87.2,False,0.2,0.3783783783783784,0,1
F10,1.0,1,Nephrotic Syndrome,renal,0.0,0.0,False,0.0,0.054054054054054,0,1
FAAH,3.0,1,"Arthritis, Rheumatoid; Crohn Disease; Lupus Erythematosus, Systemic; Multiple Sclerosis",GI; autoimmune,9.36,119.53,False,0.1,0.2162162162162162,0,1
FCGRT,2.0,1,"Arthritis, Rheumatoid",autoimmune,8.46,0.0,True,0.2,0.1891891891891892,0,1
FDPS,3.0,1,"Arthritis, Rheumatoid",autoimmune,31.62,28.96,True,0.4,0.4324324324324324,0,1
FFAR2,2.0,1,"Colitis, Ulcerative",GI,142.07,0.0,True,0.1,0.081081081081081,0,1
FGFR1,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,7.25,63.29,False,0.4,0.3243243243243243,0,1
FGFR2,2.0,2,"Asthma; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,5.13,13.28,False,0.1,0.081081081081081,0,1
FGFR3,3.0,1,"Arthritis, Rheumatoid; Asthma; Multiple Sclerosis; Psoriasis",autoimmune; respiratory; skin,21.59,21.82,False,0.1,0.1081081081081081,0,1
FKBP1A,4.0,5,"Arthritis, Rheumatoid; Dermatitis, Atopic; Lupus Erythematosus, Systemic; Uveitis",autoimmune; eye; skin,10.99,52.01,False,0.2,0.3243243243243243,1,0
FLT1,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.67,190.86,False,0.1,0.2972972972972973,0,1
FLT3,2.0,2,"Arthritis, Rheumatoid; Psoriasis",autoimmune; skin,8.72,45.79,False,0.1,0.1351351351351351,0,1
FLT4,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,0.0,False,0.0,0.081081081081081,0,1
FN1,1.0,1,Uveitis,eye,18.98,27.15,False,0.2,0.2972972972972973,0,1
FRK,2.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,12.26,21.27,False,0.2,0.2972972972972973,0,1
GHR,2.0,1,Crohn Disease,GI,57.7,0.0,True,0.3,0.2162162162162162,0,1
GLP2R,2.0,1,Crohn Disease,GI,0.0,9.98,False,0.0,0.1351351351351351,0,1
GMPS,3.0,1,"Arthritis, Rheumatoid; Nephrotic Syndrome",autoimmune; renal,14.64,30.96,False,0.2,0.2702702702702703,0,1
GNRHR,2.0,1,"Arthritis, Rheumatoid",autoimmune,0.0,0.0,False,0.0,0.027027027027027,0,1
GPR84,2.0,1,"Colitis, Ulcerative",GI,25.04,84.67,False,0.3,0.4594594594594595,0,1
GRIA1,2.0,2,Multiple Sclerosis,autoimmune,0.0,0.0,False,0.0,0.027027027027027,0,1
GRIA2,2.0,2,Multiple Sclerosis,autoimmune,0.0,0.0,False,0.0,0.027027027027027,0,1
HCRTR1,1.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,3.87,False,0.0,0.081081081081081,0,1
HCRTR2,1.0,1,"Pulmonary Disease, Chronic Obstructive",respiratory,0.0,0.0,False,0.0,0.0,0,1
HDAC1,1.0,1,Crohn Disease,GI,53.58,41.17,True,0.3,0.3243243243243243,0,1
HDAC2,1.0,1,Crohn Disease,GI,0.0,20.68,False,0.0,0.1081081081081081,0,1
HDAC3,1.0,1,Crohn Disease,GI,4.83,49.5,False,0.1,0.1621621621621621,0,1
HDAC6,1.0,1,Crohn Disease,GI,0.0,15.02,False,0.0,0.2162162162162162,0,1
HMGCR,3.0,2,"Arthritis, Rheumatoid; Asthma; Lupus Erythematosus, Systemic; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive; Uveitis",autoimmune; eye; respiratory,23.51,34.51,False,0.3,0.3783783783783784,0,1
HRH1,4.0,10,"Arthritis, Rheumatoid; Asthma; Dermatitis, Atopic; Lupus Erythematosus, Systemic; Multiple Sclerosis; Rhinitis, Allergic",autoimmune; respiratory; skin,140.89,65.51,True,0.4,0.4324324324324324,1,0
HRH2,4.0,3,"Arthritis, Rheumatoid; Dermatitis, Atopic; Lupus Erythematosus, Systemic; Multiple Sclerosis; Psoriasis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory; skin,26.08,45.03,False,0.1,0.081081081081081,1,0
HRH4,2.0,2,"Arthritis, Rheumatoid; Asthma; Dermatitis, Atopic; Psoriasis",autoimmune; respiratory; skin,6.54,0.0,True,0.1,0.0,0,1
HTR2A,1.0,2,"Asthma; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,7.67,0.0,True,0.2,0.081081081081081,0,1
HTR2C,1.0,2,"Asthma; Multiple Sclerosis; Pulmonary Disease, Chronic Obstructive",autoimmune; respiratory,0.0,0.0,False,0.0,0.0,0,1
ICOSLG,1.0,1,"Lupus Erythematosus, Systemic; Psoriasis",autoimmune; skin,0.0,0.0,False,0.0,0.0,0,1
