gene_name,VDR_score,GR_score,VDR_dominant,承認済,P1止まり,P1→II通過率,pred_prob_A,pred_passrate
VDR,30.94,15.24,True,7,1,0.944,0.6362246810450388,0.9496691506988911
SLC12A3,7.35,40.15,False,14,0,1.0,0.6357533651879397,0.8968782953712153
FKBP1A,10.99,52.01,False,5,1,0.857,0.6336841872507795,0.9177205234259341
JAK1,12.81,85.48,False,9,2,0.882,0.6328410114218254,0.9224262932033934
JAK3,10.18,31.66,False,6,2,0.846,0.631568335956677,0.9397204494841462
CX3CL1,10.89,25.81,False,0,0,1.0,0.6311338951302279,0.9452608144048001
PPARG,11.09,12.78,False,7,2,0.935,0.6304946467078181,0.9514589489977017
ADAM17,18.4,195.86,False,0,0,1.0,0.629841480373707,0.8851468720594255
RAF1,19.66,40.61,False,2,4,0.429,0.6296283268154026,0.9028424337546784
IGF1R,13.29,64.15,False,4,5,0.75,0.6295815998184161,0.9233993808878824
IL1R1,5.72,333.19,False,1,0,1.0,0.6279052185229677,0.8539506507938027
FRK,12.26,21.27,False,1,0,1.0,0.62766955582503,0.9251712498836054
CA2,12.79,21.88,False,7,0,1.0,0.6258005591706235,0.9254765798033764
GMPS,14.64,30.96,False,0,0,1.0,0.6249100460109484,0.9303952540422219
PARP2,28.77,67.4,False,4,0,1.0,0.6242226378728648,0.8925996136622462
CDK4,41.56,62.24,False,6,2,0.857,0.6237046282073927,0.8926249449711572
EPHA2,21.18,53.58,False,2,0,1.0,0.623649080065514,0.8983750347747804
LOXL2,13.09,2.82,True,0,0,1.0,0.6233177501465675,0.9648672329363431
RARA,34.13,242.19,False,1,0,1.0,0.623179728664058,0.9172775299456641
IL18,10.77,91.56,False,0,0,1.0,0.623161884371628,0.9242782843602201
PPARA,16.37,15.95,True,8,0,1.0,0.6230216320948291,0.9158087839316699
MAP3K1,13.84,101.77,False,0,0,1.0,0.6225085420200912,0.9136872169545172
MAPKAPK5,12.14,67.51,False,0,0,1.0,0.622135125574785,0.8829244176244623
PDE3A,11.67,0.0,True,5,0,1.0,0.6215768072830452,0.9669591732874698
CYSLTR1,14.82,0.0,True,3,1,0.75,0.6215259315373841,0.9825659227864884
KIT,21.29,137.44,False,14,1,0.971,0.6214680353704607,0.9133085960689303
TNFRSF18,10.42,278.84,False,0,1,0.5,0.6192678157136502,0.907921629006667
SIGLEC8,15.57,0.0,True,0,0,1.0,0.6191295692587004,0.9830003694577973
SLC5A2,25.13,17.87,True,10,0,1.0,0.6183916201569832,0.9634717413346477
PDE5A,22.77,7.56,True,5,0,1.0,0.6183526397486683,0.9383573412706417
EGFR,11.86,370.19,False,23,12,0.867,0.617793721195442,0.8868445857271473
TYK2,20.2,73.07,False,5,0,1.0,0.6168655622074453,0.9097714425181977
CA12,20.55,19.07,True,3,0,1.0,0.616587299530351,0.9219500151356174
CXCL8,10.92,133.41,False,0,0,1.0,0.6162276011462267,0.8884733729761474
PMEL,54.0,325.5,False,1,0,1.0,0.6161572925547956,0.9127875211725697
NR3C2,19.75,18.02,True,11,1,0.941,0.6151011190396825,0.9432589730269989
