gene,disease,category,mol_id,max_phase,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1473,4.0,56.91,9.43,True,0.2,0.1891891891891892
CHRM1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201027,4.0,0.0,43.55,False,0.0,0.2432432432432432
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201027,4.0,11.74,0.0,True,0.2,0.054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1789842,4.0,14.51,48.38,False,0.6,0.2972972972972973
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2134724,4.0,11.74,0.0,True,0.2,0.054054054054054
HMGCR,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL503,2.0,23.51,34.51,False,0.3,0.3783783783783784
PGR,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201139,2.0,6.14,0.0,True,0.1,0.1621621621621621
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2105743,4.0,14.51,48.38,False,0.6,0.2972972972972973
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1082607,4.0,14.51,48.38,False,0.6,0.2972972972972973
HMGCR,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1064,3.0,23.51,34.51,False,0.3,0.3783783783783784
PDE3A,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1355736,3.0,11.67,0.0,True,0.1,0.1081081081081081
ADORA1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1355736,3.0,0.0,198.31,False,0.0,0.2432432432432432
ADORA3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1355736,3.0,43.73,24.52,True,0.4,0.2162162162162162
ADORA2A,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1355736,3.0,2.81,2.2,True,0.1,0.1081081081081081
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545181,4.0,11.74,0.0,True,0.2,0.054054054054054
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL523299,4.0,11.74,0.0,True,0.2,0.054054054054054
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1084172,4.0,14.51,48.38,False,0.6,0.2972972972972973
EDNRA,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL957,2.0,0.0,3.7,False,0.0,0.1621621621621621
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1676,4.0,56.91,9.43,True,0.2,0.1891891891891892
PTGIR,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL494,2.0,2.74,12.14,False,0.2,0.1081081081081081
IGHE,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201589,2.0,3.22,11.14,False,0.1,0.054054054054054
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL635,3.0,56.91,9.43,True,0.2,0.1891891891891892
PTGIR,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1237119,2.0,2.74,12.14,False,0.2,0.1081081081081081
IL1B,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201834,1.0,10.2,45.09,False,0.3,0.2702702702702703
PPIA,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL160,1.0,17.44,7.85,True,0.5,0.4324324324324324
MMP8,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1200699,3.0,3.93,56.14,False,0.2,0.1621621621621621
MMP7,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1200699,3.0,6.07,39.99,False,0.1,0.1891891891891892
MMP1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1200699,3.0,0.0,0.0,False,0.0,0.054054054054054
MMP13,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1200699,3.0,0.0,13.01,False,0.1,0.1621621621621621
CFTR,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2010601,2.0,0.0,0.0,False,0.1,0.1621621621621621
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3084748,1.0,11.74,0.0,True,0.2,0.054054054054054
CHRM2,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3084748,1.0,0.0,3.5,False,0.0,0.081081081081081
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL131,3.0,56.91,9.43,True,0.2,0.1891891891891892
