disease,category,mol_id,max_phase,efo_term
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL332750,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545103,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1042,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1237026,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3039530,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1088751,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3039518,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL5315124,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1742991,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL4594244,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3989857,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1938400,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2108429,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL8,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL689,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1094785,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1088752,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL5314358,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1743035,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL529,4.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1200500,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL605846,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1263,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1215923,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3137353,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL32,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1451,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL70,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1900528,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545222,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL105060,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545168,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3833374,1.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3707249,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL511115,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL5314409,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL9960,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3545221,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL3707293,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL1201335,3.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2103838,2.0,chronic obstructive pulmonary disease
"Pulmonary Disease, Chronic Obstructive",respiratory,CHEMBL2178570,2.0,chronic obstructive pulmonary disease
