gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
EDNRA,0.0,3.7,0,9,0.0,5.0,0.0,6.0,0.0,0.1621621621621621,False,-4.105696196627351,other
NR3C2,19.75,18.02,2,9,2.0,6.0,2.0,8.0,0.2,0.2162162162162162,True,-0.1073130241426337,other
TLR2,11.37,12.71,2,5,2.0,5.0,2.0,4.0,0.2,0.1081081081081081,False,0.8302813189071119,failed
GRIA2,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other
TLR3,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other
SLC6A3,0.0,7.65,0,5,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other
OSMR,39.93,182.9,6,22,4.0,14.0,4.0,15.0,0.4,0.4054054054054054,False,-0.0188960794437378,ongoing
PTGER4,14.13,27.15,4,24,4.0,13.0,4.0,14.0,0.4,0.3783783783783784,False,0.0781610237896969,other
GHR,57.7,0.0,4,10,4.0,7.0,3.0,8.0,0.3,0.2162162162162162,True,0.4545658634654811,other
ITGA2,19.37,107.8,4,20,4.0,12.0,4.0,13.0,0.4,0.3513513513513513,False,0.1822216201536808,other
IL31RA,6.13,59.84,2,16,2.0,8.0,2.0,8.0,0.2,0.2162162162162162,False,-0.1073130241426337,approved
MAP3K1,13.84,101.77,2,19,2.0,12.0,2.0,13.0,0.2,0.3513513513513513,False,-0.7830129616856427,other
HMGCR,23.51,34.51,3,19,3.0,12.0,3.0,14.0,0.3,0.3783783783783784,False,-0.3251946704415115,other
DHFR,33.89,42.56,6,13,6.0,9.0,6.0,13.0,0.6,0.3513513513513513,False,0.7554069530984832,other
TSLP,23.96,3.11,2,5,2.0,5.0,2.0,5.0,0.2,0.1351351351351351,True,0.5329925104222974,approved
CSF2,20.08,203.2,2,13,2.0,7.0,2.0,5.0,0.2,0.1351351351351351,False,0.5329925104222974,failed
IL5,6.02,123.29,3,15,3.0,10.0,3.0,15.0,0.3,0.4054054054054054,False,-0.4222517736749465,approved
IL13,3.31,99.09,2,14,2.0,6.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,approved
CD14,207.55,155.41,9,20,5.0,14.0,5.0,12.0,0.5,0.3243243243243243,True,0.6092489226240755,other
HDAC3,4.83,49.5,1,9,1.0,5.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other
FGF1,4.72,1.68,1,5,1.0,4.0,1.0,5.0,0.1,0.1351351351351351,True,-0.3998932937191657,other
NR3C1,56.91,9.43,2,8,2.0,8.0,2.0,7.0,0.2,0.1891891891891892,True,0.0762499793126403,other
ADRB2,14.51,48.38,6,20,6.0,13.0,6.0,11.0,0.6,0.2972972972972973,False,0.9891741642995882,other
CSF1R,7.53,84.26,2,13,2.0,6.0,2.0,5.0,0.2,0.1351351351351351,False,0.5329925104222974,other
PDGFRB,0.0,30.47,0,12,0.0,6.0,0.0,8.0,0.0,0.2162162162162162,False,-4.499630446921394,approved
GRIA1,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other
HAVCR2,54.67,56.32,4,11,4.0,7.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,ongoing
ITK,54.67,56.32,4,11,4.0,7.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,other
HRH2,26.08,45.03,1,4,1.0,3.0,1.0,3.0,0.1,0.081081081081081,False,0.2722802030843886,other
FLT4,0.0,0.0,0,3,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other
RIPK1,18.79,171.22,5,22,5.0,13.0,5.0,14.0,0.5,0.3783783783783784,False,0.3930343611431088,ongoing
ALDH5A1,4.22,24.85,3,9,3.0,7.0,3.0,6.0,0.3,0.1621621621621621,False,0.8485001137595244,other
LTA,27.76,19.49,1,6,1.0,4.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,other
