gene,disease,category,phase,mol_status,mol_id,VDR_score,GR_score,VDR_dominant,VDR_repro,GR_repro
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL118,6.62,3.24,True,0.2,0.1891891891891892
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201831,36.86,19.49,True,0.1,0.1081081081081081
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201572,36.86,19.49,True,0.1,0.1081081081081081
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201581,36.86,19.49,True,0.1,0.1081081081081081
DHFR,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL34259,33.89,42.56,False,0.6,0.3513513513513513
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL131,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL635,56.91,9.43,True,0.2,0.1891891891891892
MS4A1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201576,0.0,8.92,False,0.0,0.1351351351351351
IL6R,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1237022,99.59,82.9,True,0.5,0.3783783783783784
IL1R1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201570,5.72,333.19,False,0.2,0.6486486486486487
PPAT,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1542,6.72,17.2,False,0.3,0.2432432432432432
TNF,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1201833,36.86,19.49,True,0.1,0.1081081081081081
DHODH,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL960,19.91,36.24,False,0.2,0.2432432432432432
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL2021430,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL1650,56.91,9.43,True,0.2,0.1891891891891892
NR3C1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL384467,56.91,9.43,True,0.2,0.1891891891891892
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL622,6.62,3.24,True,0.2,0.1891891891891892
PTGS2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL599,6.62,3.24,True,0.2,0.1891891891891892
IL6R,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL2108730,99.59,82.9,True,0.5,0.3783783783783784
MAPK14,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1088751,34.95,69.51,False,0.5,0.5405405405405406
MS4A1,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL1743088,0.0,8.92,False,0.0,0.1351351351351351
TNF,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL2108739,36.86,19.49,True,0.1,0.1081081081081081
JAK2,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL2105759,21.27,62.01,False,0.2,0.2432432432432432
JAK1,"Arthritis, Rheumatoid",autoimmune,4.0,approved,CHEMBL2105759,12.81,85.48,False,0.2,0.2972972972972973
CD4,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL2108063,0.0,0.0,False,0.0,0.027027027027027
IL6,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL1743050,3.51,56.98,False,0.2,0.1891891891891892
GMPS,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL245019,14.64,30.96,False,0.2,0.2702702702702703
TNFSF13B,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL1743075,0.0,0.0,False,0.0,0.0
JAK3,"Arthritis, Rheumatoid",autoimmune,2.0,failed,CHEMBL3039513,10.18,31.66,False,0.1,0.2162162162162162
IL6,"Arthritis, Rheumatoid",autoimmune,3.0,failed,CHEMBL1743071,3.51,56.98,False,0.2,0.1891891891891892
