gene,VDR_score,GR_score,log_VDR,log_GR,VDR_repro,GR_repro,VDR_dominant,status,pred_prob
CCN2,30.84,103.65,3.460723360976182,4.650621448892009,0.3,0.4594594594594595,False,other,0.38925821286298445
ATR,36.05,89.15,3.6122683517420957,4.501474949649326,0.4,0.4594594594594595,False,other,0.3884631007839793
TEK,0.0,0.0,0.0,0.0,0.0,0.054054054054054,False,other,0.38667483646842093
TLR8,0.0,0.0,0.0,0.0,0.0,0.054054054054054,False,other,0.38667483646842093
IDO1,0.0,0.0,0.0,0.0,0.0,0.054054054054054,False,other,0.38667483646842093
F10,0.0,0.0,0.0,0.0,0.0,0.054054054054054,False,other,0.38667483646842093
CASP1,0.0,0.0,0.0,0.0,0.0,0.054054054054054,False,other,0.38667483646842093
MMP1,0.0,0.0,0.0,0.0,0.0,0.054054054054054,False,other,0.38667483646842093
CD52,9.65,0.0,2.365559892155434,0.0,0.2,0.1891891891891892,True,approved,0.3857299693974132
ALK,0.0,4.75,0.0,1.749199854809259,0.1,0.1351351351351351,False,other,0.3819732381401615
CYP26A1,5.39,9.63,1.8547342683894434,2.363680192353857,0.2,0.2702702702702703,False,other,0.38171104603385997
PDGFRB,0.0,30.47,0.0,3.4490347110763153,0.0,0.2162162162162162,False,approved,0.3811284846031403
XDH,0.0,8.12,0.0,2.21046980408624,0.0,0.1621621621621621,False,other,0.378678500294097
ADRB1,3.23,169.87,1.4422019930581866,5.140903033460182,0.1,0.3783783783783784,False,other,0.3782862256071014
FCGRT,8.46,0.0,2.247072383063787,0.0,0.2,0.1891891891891892,True,other,0.3782686802638713
PPARA,16.37,15.95,2.854744580253014,2.830267833826459,0.3,0.3513513513513513,True,other,0.3779465187227016
CXCR4,27.15,141.98,3.3375473545856993,4.962704760338705,0.1,0.4864864864864865,False,other,0.374106618411247
CDK4,41.56,62.24,3.750914845033389,4.146937012341271,0.6,0.4594594594594595,False,other,0.37382070249387617
