gene,VDR_score,GR_score,log_VDR,log_GR,VDR_repro,GR_repro,VDR_dominant,status,pred_prob
PLG,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
HTR2C,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
IL22,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
CHRNA7,0.0,0.0,0.0,0.0,0.0,0.0,False,other,0.44574526516106733
ACE,4.76,40.31,1.7509374747078,3.721104601408673,0.1,0.2702702702702703,False,other,0.4455709610459899
DNMT3A,5.6,69.5,1.8870696490323797,4.255612709818223,0.3,0.2972972972972973,False,other,0.4450107248531194
ACVR2B,5.09,39.09,1.8066480817218056,3.6911269266544156,0.2,0.2702702702702703,False,other,0.4444628743560606
IMPDH1,22.26,39.69,3.1467351470905185,3.7059823620135983,0.2,0.3513513513513513,False,other,0.4433169390580776
ADORA1,0.0,198.31,0.0,5.2948614015746465,0.0,0.2432432432432432,False,other,0.4431986682595898
FKBP1A,10.99,52.01,2.4840729690394228,3.9704805749997147,0.2,0.3243243243243243,False,other,0.4431097939193168
SIRT1,41.02,239.18,3.7381456954168546,5.481388642232537,0.5,0.4594594594594595,False,other,0.44211632040278614
CA2,12.79,21.88,2.6239436918052106,3.130263166511597,0.2,0.2972972972972973,False,other,0.43986270984782466
IL20,0.0,30.05,0.0,3.435598808379488,0.0,0.1621621621621621,False,other,0.43928105679044305
TNFRSF13C,0.0,104.09,0.0,4.654817125877505,0.1,0.2162162162162162,False,other,0.4376145666137668
GPNMB,0.0,4.01,0.0,1.6114359150967734,0.0,0.081081081081081,False,other,0.43714011930156804
SLC6A4,4.7,0.0,1.7404661748405046,0.0,0.1,0.1081081081081081,True,other,0.4369169231614572
FRK,12.26,21.27,2.5847519847577165,3.1032404812692764,0.2,0.2972972972972973,False,other,0.4359263209810585
PTGS2,6.62,3.24,2.030776369698555,1.4445632692438664,0.2,0.1891891891891892,True,other,0.4357207707320549
HCRTR1,0.0,3.87,0.0,1.5830939370944985,0.0,0.081081081081081,False,other,0.4357114788708598
S1PR1,6.26,29.35,1.9823798288367047,3.4127965175055075,0.4,0.2702702702702703,False,approved,0.4354517810764726
SLC6A3,0.0,7.65,0.0,2.157559320943788,0.0,0.1081081081081081,False,other,0.43473196830788186
TYK2,20.2,73.07,3.054001181677967,4.305010592025198,0.3,0.3783783783783784,False,approved,0.4342327232463999
NTRK2,4.45,0.0,1.6956156086751528,0.0,0.1,0.1081081081081081,True,other,0.4339758437201427
