gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status,PPARG_score,PPARG_celltypes,PPARG_experiments,PPARG_repro
MAP3K1,13.84,101.77,2.0,19.0,2.0,12.0,2.0,13.0,0.2,0.3513513513513513,False,-0.7830129616856427,other,11,1,1,0.1111
HMGCR,23.51,34.51,3.0,19.0,3.0,12.0,3.0,14.0,0.3,0.3783783783783784,False,-0.3251946704415115,other,22,2,2,0.2222
DHFR,33.89,42.56,6.0,13.0,6.0,9.0,6.0,13.0,0.6,0.3513513513513513,False,0.7554069530984832,other,22,2,2,0.2222
TSLP,23.96,3.11,2.0,5.0,2.0,5.0,2.0,5.0,0.2,0.1351351351351351,True,0.5329925104222974,approved,11,1,1,0.1111
CSF2,20.08,203.2,2.0,13.0,2.0,7.0,2.0,5.0,0.2,0.1351351351351351,False,0.5329925104222974,failed,11,1,1,0.1111
IL5,6.02,123.29,3.0,15.0,3.0,10.0,3.0,15.0,0.3,0.4054054054054054,False,-0.4222517736749465,approved,33,3,3,0.3333
IL13,3.31,99.09,2.0,14.0,2.0,6.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,approved,22,2,2,0.2222
CD14,207.55,155.41,9.0,20.0,5.0,14.0,5.0,12.0,0.5,0.3243243243243243,True,0.6092489226240755,other,33,3,3,0.3333
HDAC3,4.83,49.5,1.0,9.0,1.0,5.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other,33,3,3,0.3333
FGF1,4.72,1.68,1.0,5.0,1.0,4.0,1.0,5.0,0.1,0.1351351351351351,True,-0.3998932937191657,other,33,3,3,0.3333
NR3C1,56.91,9.43,2.0,8.0,2.0,8.0,2.0,7.0,0.2,0.1891891891891892,True,0.0762499793126403,other,0,0,0,0.0
ADRB2,14.51,48.38,6.0,20.0,6.0,13.0,6.0,11.0,0.6,0.2972972972972973,False,0.9891741642995882,other,33,3,3,0.3333
CSF1R,7.53,84.26,2.0,13.0,2.0,6.0,2.0,5.0,0.2,0.1351351351351351,False,0.5329925104222974,other,11,1,1,0.1111
PDGFRB,0.0,30.47,0.0,12.0,0.0,6.0,0.0,8.0,0.0,0.2162162162162162,False,-4.499630446921394,approved,11,1,1,0.1111
GRIA1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other,0,0,0,0.0
HAVCR2,54.67,56.32,4.0,11.0,4.0,7.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,ongoing,22,2,2,0.2222
ITK,54.67,56.32,4.0,11.0,4.0,7.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,other,22,2,2,0.2222
HRH2,26.08,45.03,1.0,4.0,1.0,3.0,1.0,3.0,0.1,0.081081081081081,False,0.2722802030843886,other,0,0,0,0.0
FLT4,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other,0,0,0,0.0
RIPK1,18.79,171.22,5.0,22.0,5.0,13.0,5.0,14.0,0.5,0.3783783783783784,False,0.3930343611431088,ongoing,22,2,2,0.2222
ALDH5A1,4.22,24.85,3.0,9.0,3.0,7.0,3.0,6.0,0.3,0.1621621621621621,False,0.8485001137595244,other,11,1,1,0.1111
LTA,27.76,19.49,1.0,6.0,1.0,4.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,other,0,0,0,0.0
TNF,36.86,19.49,1.0,9.0,1.0,6.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,approved,0,0,0,0.0
MAPK14,34.95,69.51,7.0,27.0,5.0,18.0,5.0,20.0,0.5,0.5405405405405406,False,-0.1103515573654427,failed,33,3,3,0.3333
VEGFA,110.38,11.56,6.0,21.0,6.0,14.0,4.0,16.0,0.4,0.4324324324324324,True,-0.1098332362271199,approved,33,3,3,0.3333
SLC29A1,34.57,42.62,3.0,21.0,3.0,12.0,3.0,13.0,0.3,0.3513513513513513,False,-0.2211340740775279,other,22,2,2,0.2222
IL17A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,approved,11,1,1,0.1111
IL17F,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other,11,1,1,0.1111
HCRTR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,other,0,0,0,0.0
CNR1,22.58,49.88,1.0,6.0,1.0,3.0,1.0,3.0,0.1,0.081081081081081,False,0.2722802030843886,other,0,0,0,0.0
TRAF3IP2,7.8,151.92,3.0,26.0,3.0,18.0,3.0,17.0,0.3,0.4594594594594595,False,-0.5987323626945678,other,88,8,8,0.8889
MARCKS,12.36,34.9,4.0,16.0,4.0,10.0,4.0,10.0,0.4,0.2702702702702703,False,0.5488051914338078,other,22,2,2,0.2222
HDAC2,0.0,20.68,0.0,4.0,0.0,4.0,0.0,4.0,0.0,0.1081081081081081,False,-3.5620361038716486,other,0,0,0,0.0
FRK,12.26,21.27,2.0,12.0,2.0,10.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,other,22,2,2,0.2222
CCN2,30.84,103.65,3.0,30.0,3.0,15.0,3.0,17.0,0.3,0.4594594594594595,False,-0.5987323626945678,other,33,3,3,0.3333
ESR1,0.0,18.72,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other,22,2,2,0.2222
PLG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,other,0,0,0,0.0
AHR,0.0,67.78,0.0,26.0,0.0,15.0,0.0,13.0,0.0,0.3513513513513513,False,-5.175330384464403,other,11,1,1,0.1111
IL6,3.51,56.98,2.0,14.0,2.0,10.0,2.0,7.0,0.2,0.1891891891891892,False,0.0762499793126403,other,11,1,1,0.1111
GPNMB,0.0,4.01,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other,22,2,2,0.2222
PPIA,17.44,7.85,5.0,13.0,5.0,12.0,5.0,16.0,0.5,0.4324324324324324,True,0.2050401011262917,other,22,2,2,0.2222
EGFR,11.86,370.19,2.0,35.0,2.0,17.0,2.0,18.0,0.2,0.4864864864864865,False,-1.2413651227036395,other,11,1,1,0.1111
CDK6,9.72,17.6,4.0,15.0,4.0,11.0,4.0,13.0,0.4,0.3513513513513513,False,0.1822216201536808,other,44,4,4,0.4444
NAMPT,66.6,88.13,0.0,6.0,0.0,6.0,0.0,6.0,0.0,0.1621621621621621,False,-4.105696196627351,other,0,0,0,0.0
MET,22.4,124.2,1.0,16.0,1.0,10.0,1.0,11.0,0.1,0.2972972972972973,False,-1.4821315546260008,other,44,4,4,0.4444
CFTR,0.0,0.0,1.0,5.0,1.0,4.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other,0,0,0,0.0
IMPDH1,22.26,39.69,2.0,16.0,2.0,10.0,2.0,13.0,0.2,0.3513513513513513,False,-0.7830129616856427,other,33,3,3,0.3333
CHRM2,0.0,3.5,0.0,3.0,0.0,3.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other,0,0,0,0.0
BRAF,15.34,42.78,5.0,12.0,4.0,8.0,4.0,12.0,0.4,0.3243243243243243,False,0.2943755852706636,other,22,2,2,0.2222
CDK5,20.19,115.98,5.0,27.0,5.0,17.0,5.0,18.0,0.5,0.4864864864864865,False,0.0387427964890957,other,55,5,5,0.5556
LOXL2,13.09,2.82,1.0,5.0,1.0,4.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,other,11,1,1,0.1111
ADRA1A,7.35,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other,11,1,1,0.1111
PTK2B,53.18,61.62,4.0,26.0,3.0,17.0,3.0,19.0,0.3,0.5135135135135135,False,-0.7559585625874288,other,22,2,2,0.2222
EPHX2,12.61,0.0,4.0,5.0,4.0,5.0,3.0,8.0,0.3,0.2162162162162162,True,0.4545658634654811,other,33,3,3,0.3333
GSR,40.43,160.48,7.0,49.0,7.0,28.0,5.0,26.0,0.5,0.7027027027027027,False,-0.4828031482641149,other,44,4,4,0.4444
FGFR1,7.25,63.29,4.0,17.0,4.0,11.0,4.0,12.0,0.4,0.3243243243243243,False,0.2943755852706636,other,22,2,2,0.2222
IDO1,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other,0,0,0,0.0
IKBKB,17.32,72.67,3.0,22.0,3.0,15.0,2.0,14.0,0.2,0.3783783783783784,False,-0.8870735580496263,other,11,1,1,0.1111
CA1,0.0,2.45,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other,0,0,0,0.0
CA2,12.79,21.88,2.0,11.0,2.0,8.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,other,11,1,1,0.1111
PTK2,21.61,43.0,4.0,27.0,3.0,17.0,3.0,17.0,0.3,0.4594594594594595,False,-0.5987323626945678,other,11,1,1,0.1111
JAK2,21.27,62.01,2.0,11.0,2.0,7.0,2.0,9.0,0.2,0.2432432432432432,False,-0.2701344492514768,other,11,1,1,0.1111
CD274,186.2,80.45,11.0,10.0,7.0,6.0,6.0,8.0,0.6,0.2162162162162162,True,1.431106890641492,approved,44,4,4,0.4444
IL33,0.0,3.73,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,approved,11,1,1,0.1111
TYRP1,7.57,46.17,1.0,9.0,1.0,4.0,1.0,4.0,0.1,0.1081081081081081,False,-0.1026044852343513,other,0,0,0,0.0
TEK,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other,11,1,1,0.1111
NTRK2,4.45,0.0,1.0,2.0,1.0,2.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,other,0,0,0,0.0
SYK,55.92,6.88,5.0,9.0,5.0,7.0,4.0,9.0,0.4,0.2432432432432432,True,0.6951001325878468,other,0,0,0,0.0
ABL1,34.44,83.06,2.0,11.0,2.0,7.0,2.0,7.0,0.2,0.1891891891891892,False,0.0762499793126403,other,22,2,2,0.2222
CACNA1B,0.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other,22,2,2,0.2222
MAP3K8,21.09,12.13,3.0,24.0,3.0,15.0,3.0,21.0,0.3,0.5675675675675675,True,-0.897721516643986,other,33,3,3,0.3333
RET,3.91,27.19,1.0,0.0,1.0,0.0,1.0,0.0,0.1,0.0,False,3.4594316186372973,other,0,0,0,0.0
ALOX5,3.77,14.06,1.0,5.0,1.0,4.0,1.0,4.0,0.1,0.1081081081081081,False,-0.1026044852343513,other,11,1,1,0.1111
CDK1,9.43,58.92,3.0,13.0,3.0,9.0,3.0,8.0,0.3,0.2162162162162162,False,0.4545658634654811,other,11,1,1,0.1111
SIRT1,41.02,239.18,7.0,20.0,6.0,15.0,5.0,17.0,0.5,0.4594594594594595,False,0.1194966688900526,other,11,1,1,0.1111
