gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
GSR,40.43,160.48,7,49,7,28,5,26,0.5,0.7027027027027027,False,-0.48280314826411497,other
FGFR1,7.25,63.29,4,17,4,11,4,12,0.4,0.32432432432432434,False,0.29437558527066365,other
IDO1,0.0,0.0,0,3,0,2,0,2,0.0,0.05405405405405406,False,-2.679289883269309,other
IKBKB,17.32,72.67,3,22,3,15,2,14,0.2,0.3783783783783784,False,-0.8870735580496263,other
CA1,0.0,2.45,0,2,0,2,0,2,0.0,0.05405405405405406,False,-2.679289883269309,other
CA2,12.79,21.88,2,11,2,8,2,11,0.2,0.2972972972972973,False,-0.5492457504845378,other
PTK2,21.61,43.0,4,27,3,17,3,17,0.3,0.4594594594594595,False,-0.5987323626945678,other
JAK2,21.27,62.01,2,11,2,7,2,9,0.2,0.24324324324324326,False,-0.27013444925147684,other
CD274,186.2,80.45,11,10,7,6,6,8,0.6,0.21621621621621623,True,1.431106890641492,approved
IL33,0.0,3.73,0,4,0,4,0,2,0.0,0.05405405405405406,False,-2.679289883269309,approved
TYRP1,7.57,46.17,1,9,1,4,1,4,0.1,0.10810810810810811,False,-0.10260448523435133,other
TEK,0.0,0.0,0,2,0,2,0,2,0.0,0.05405405405405406,False,-2.679289883269309,other
NTRK2,4.45,0.0,1,2,1,2,1,4,0.1,0.10810810810810811,True,-0.10260448523435133,other
SYK,55.92,6.88,5,9,5,7,4,9,0.4,0.24324324324324326,True,0.6951001325878468,other
ABL1,34.44,83.06,2,11,2,7,2,7,0.2,0.1891891891891892,False,0.07624997931264035,other
CACNA1B,0.0,0.0,0,2,0,2,0,3,0.0,0.08108108108108109,False,-3.1871514155529086,other
MAP3K8,21.09,12.13,3,24,3,15,3,21,0.3,0.5675675675675675,True,-0.897721516643986,other
RET,3.91,27.19,1,0,1,0,1,0,0.1,0.0,False,3.4594316186372973,other
ALOX5,3.77,14.06,1,5,1,4,1,4,0.1,0.10810810810810811,False,-0.10260448523435133,other
CDK1,9.43,58.92,3,13,3,9,3,8,0.3,0.21621621621621623,False,0.4545658634654811,other
SIRT1,41.02,239.18,7,20,6,15,5,17,0.5,0.4594594594594595,False,0.1194966688900526,other
CYP26A1,5.39,9.63,2,10,2,8,2,10,0.2,0.2702702702702703,False,-0.4164293904055157,other
