gene,disease,category,phase,mol_id,VDR_score,GR_score,VDR_dominant
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1084172,14.51,48.38,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1676,56.91,9.43,True
PTGIR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL494,2.74,12.14,False
IGHE,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1201589,3.22,11.14,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL635,56.91,9.43,True
PTGIR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1237119,2.74,12.14,False
IL1B,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL1201834,10.2,45.09,False
PPIA,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL160,17.44,7.85,True
MMP13,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1200699,0.0,13.01,False
MMP8,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1200699,3.93,56.14,False
MMP7,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1200699,6.07,39.99,False
MMP1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1200699,0.0,0.0,False
CFTR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2010601,0.0,0.0,False
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3084748,11.74,0.0,True
CHRM2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3084748,0.0,3.5,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL131,56.91,9.43,True
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1161,56.91,9.43,True
HTR2A,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL831,7.67,0.0,True
HTR2C,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL831,0.0,0.0,False
ALOX5,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL93,3.77,14.06,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL3989798,14.51,48.38,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,4.0,CHEMBL1201014,56.91,9.43,True
CXCR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3039531,69.42,8.12,True
PTGDR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1914489,5.28,3.67,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL2218893,14.51,48.38,False
LTB4R,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1742420,157.15,54.63,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3545103,14.51,48.38,False
VDR,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1042,30.94,15.24,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3039530,14.51,48.38,False
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1088751,34.95,69.51,False
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3039518,11.74,0.0,True
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3039518,14.51,48.38,False
CHRM2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3039518,0.0,3.5,False
IL5RA,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1742991,20.35,61.24,False
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1938400,34.95,69.51,False
IL5,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL2108429,6.02,123.29,False
ADRB2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1094785,14.51,48.38,False
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1088752,34.95,69.51,False
MAPK11,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1088752,4.16,27.38,False
IL13,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1743035,3.31,99.09,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1200500,56.91,9.43,True
ACVR2B,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3137353,5.09,39.09,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1451,56.91,9.43,True
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3545222,11.74,0.0,True
TACR1,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL105060,0.0,0.0,False
IKBKB,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3545168,17.32,72.67,False
MMP9,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3833374,11.54,71.71,False
CHRM3,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3707249,11.74,0.0,True
CHRM2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3707249,0.0,3.5,False
CHRNA7,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3707249,0.0,0.0,False
CHRM1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3707249,0.0,43.55,False
PIK3CD,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL5314409,13.67,23.02,False
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL9960,34.95,69.51,False
CCR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3545221,7.74,6.95,True
TRPV1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3707293,0.0,0.0,False
MAPK14,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2103838,34.95,69.51,False
