gene,disease_id,disease,therapeutic_areas,score,status
LOXL2,MONDO_0004390,ocular hypotension,disorder of visual system,0.15645361538657213,other
LOXL2,EFO_0000616,neoplasm,cancer or benign tumor,0.12803145429112556,other
ADRA1A,EFO_0000537,hypertension,cardiovascular disease; phenotype,0.628538403041411,other
ADRA1A,EFO_0000284,benign prostatic hyperplasia,cancer or benign tumor; reproductive system or breast disease,0.6185760789251907,other
ADRA1A,EFO_0000612,myocardial infarction,cardiovascular disease,0.6092189801331681,other
ADRA1A,HP_0001742,Nasal congestion,phenotype,0.6059709736708522,other
ADRA1A,EFO_0007214,common cold,gastrointestinal disease; infectious disease; respiratory or thoracic disease,0.6046024706852098,other
EPHX2,MONDO_0004975,Alzheimer disease,psychiatric disorder; nervous system disease; phenotype,0.35342545399065184,other
EPHX2,EFO_0005772,neurodegenerative disease,nervous system disease,0.3376358463795835,other
EPHX2,EFO_0005670,smoking initiation,biological_process,0.31329623083105046,other
EPHX2,EFO_0001071,lung carcinoma,respiratory or thoracic disease; cancer or benign tumor,0.28013084740234545,other
EPHX2,EFO_0004335,short-term memory,biological_process,0.2777512482723197,other
CD274,EFO_0003060,non-small cell lung carcinoma,respiratory or thoracic disease; cancer or benign tumor,0.6769230776549127,approved
CD274,EFO_1001471,Merkel cell skin cancer,integumentary system disease; cancer or benign tumor,0.6338336652200773,approved
CD274,EFO_0000702,small cell lung carcinoma,"endocrine system disease; genetic, familial or congenital disease; respiratory or thoracic disease; cancer or benign tumor",0.6136922176480127,approved
CD274,EFO_0000616,neoplasm,cancer or benign tumor,0.5954832027663227,approved
CD274,EFO_0000181,head and neck squamous cell carcinoma,cancer or benign tumor,0.585395676356973,approved
NTRK2,MONDO_0013483,"obesity, hyperphagia, and developmental delay","genetic, familial or congenital disease",0.7308931512739741,other
NTRK2,EFO_0000616,neoplasm,cancer or benign tumor,0.6545909802330924,other
NTRK2,EFO_0003060,non-small cell lung carcinoma,respiratory or thoracic disease; cancer or benign tumor,0.652726554630967,other
NTRK2,MONDO_0100062,genetic developmental and epileptic encephalopathy,"nervous system disease; genetic, familial or congenital disease",0.6239735253259627,other
NTRK2,MONDO_0004992,cancer,cancer or benign tumor,0.575700498279296,other
SYK,MONDO_0030308,immunodeficiency 82 with systemic inflammation,"immune system disease; genetic, familial or congenital disease",0.608506293550361,other
SYK,EFO_0005046,cutaneous Leishmaniasis,infectious disease; integumentary system disease,0.5733173026615971,other
SYK,HP_0002721,Immunodeficiency,phenotype,0.5686966591617616,other
SYK,HP_0004313,Decreased circulating immunoglobulin concentration,phenotype,0.5636092783941703,other
SYK,EFO_0007160,autoimmune thrombocytopenic purpura,immune system disease; hematologic disease; phenotype,0.5473089825099361,other
MAP3K8,EFO_0003767,inflammatory bowel disease,"immune system disease; gastrointestinal disease; genetic, familial or congenital disease",0.464394891370329,other
MAP3K8,EFO_0000729,ulcerative colitis,"gastrointestinal disease; immune system disease; genetic, familial or congenital disease",0.43890763541308714,other
MAP3K8,EFO_0000384,Crohn's disease,"immune system disease; gastrointestinal disease; genetic, familial or congenital disease",0.41839984535886654,other
MAP3K8,EFO_0005772,neurodegenerative disease,nervous system disease,0.332232835590138,other
MAP3K8,EFO_0000676,psoriasis,"immune system disease; integumentary system disease; genetic, familial or congenital disease",0.29494774645239524,other
PTGDR2,MONDO_0004979,asthma,phenotype; respiratory or thoracic disease,0.4325152174760155,other
PTGDR2,EFO_0003956,seasonal allergic rhinitis,respiratory or thoracic disease; immune system disease,0.2884878749026335,other
PTGDR2,EFO_1000391,Nasal Cavity Polyp,cancer or benign tumor; respiratory or thoracic disease,0.2782194719491608,other
PTGDR2,EFO_0005772,neurodegenerative disease,nervous system disease,0.19014373082501865,other
PTGDR2,MONDO_0100096,COVID-19,infectious disease,0.18965941539968773,other
PGR,EFO_0001065,endometriosis,reproductive system or breast disease,0.669096724339783,other
PGR,EFO_0009520,contraception,medical procedure,0.6023041114847074,other
PGR,EFO_0000545,infertility,reproductive system or breast disease; phenotype,0.6014296711797176,other
